Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Age
Anthony,Anthony Lo,엔써니 루오,엔써니,1998-03-12,VARSITY,5/01/2017,GKC,China,USA,179.0,,,,,M,28.0
Ara,Lee Yunji,이윤지,아라,2002-01-23,ILY:1,4/04/2022,FC ENM,South Korea,,158.0,,,,,F,24.0
A-ra,Choi Eunji,최은지,아라,2003-07-25,Girls' World,20/06/2002,Liz,South Korea,,158.0,,Seoul,,,F,23.0
Aran,Jeong Eunah,정은아,아란,2004-10-11,FIFTY FIFTY,18/11/2022,ATTRAKT,South Korea,,162.0,44.0,,,,F,22.0
Arang,Son Mnjung,손민정,아랑,2000-03-08,,,,South Korea,,,,,,NeonPunch,F,26.0
Arang,Park Yerim,박예림,아랑,2001-01-22,Pink Fantasy,28/10/2018,My Doll,South Korea,,167.0,49.0,,,,F,25.0
Areum,Kim Daun,김다운,아름,1998-01-31,AREAL,21/08/2020,JZ Factory,South Korea,,,,,,Rose Finger,F,28.0
Ari,Kim Sunyoung,김선영,아리,1994-10-23,Tahiti,23/06/2012,J-line,South Korea,,,,Daegu,,,F,32.0
Aria,Baby Gauthami,베이비 고타미,아리아,2003-03-12,X:IN,11/04/2023,Escrow,India,,,,,,,F,23.0
Arie,Jeon Minjae,전민재,아리,2000-04-07,MIXX,2/05/2016,Chiko,South Korea,,163.0,45.0,,,,F,26.0
Arin,Choi Yewon,최예원,아린,1999-06-18,Oh My Girl,21/04/2015,WM,South Korea,,163.0,47.0,Busan,,,F,27.0
Aron,Kwak Youngmin,곽영민,아론,1993-05-21,NU'EST,15/03/2012,Pledis,South Korea,USA,,,California,NU'EST W,,M,33.0
Arthur,Jang Yunho,장윤호,아서,2000-04-15,Kingdom,18/02/2021,GF,South Korea,,176.0,57.0,,,VARSITY,M,26.0
Asa,Enami Asa,에나미 아사,아사,2006-04-17,BABYMONSTER,0/01/1900,YG,Japan,,,,,,,F,20.0
Asahi,Hanada Asahi,하나다 아사히,아사히,2001-08-20,Treasure,7/08/2020,YG,Japan,,,,,,,M,25.0
Ashley,Ashley Choi,애슐리 최,애슐리,1991-11-09,Ladies' Code,7/03/2013,Polaris,South Korea,USA,,,Incheon,,,F,35.0
Aurora,Yang Lan,양안,오로라,1997-01-14,NATURE,3/08/2018,n.CH,China,,,,,,,F,29.0
Ayamy,Suzuki Ayami,스즈키 아야미,아야미,2000-07-15,Bling Bling,17/11/2020,Major9,Japan,,,,,,,F,26.0
Ayden,Kwon Yejun,권예준,에이든,2005-01-24,EPEX,8/06/2021,C9,South Korea,,174.0,55.0,,,,M,21.0
Ayeon,Son Minji,손민지,아연,2002-09-29,Saturday,18/07/2018,SD,South Korea,,162.0,47.0,,,,F,24.0
Ayno,Noh Yoonho,노윤호,에이노,1996-05-01,VAV,31/10/2015,A team,South Korea,,183.0,61.0,,,,M,30.0
B.I,Kim Hanbin,김한빈,비아이,1996-10-22,,,,South Korea,,,,Goyang,,iKON,M,30.0
B.S,Lee Youngsoo,이영수,비에스,1995-04-14,14U,17/04/2017,BG,South Korea,,,,,,,M,31.0
Babysoul,Lee Soojung,이수정,베이비소울,1992-07-06,Lovelyz,17/11/2014,Woollim,South Korea,,158.0,41.0,Gwangju,,,F,34.0
Bada,Kim Bada,김바다,바다,2002-05-28,Hinapia,3/11/2019,Alseulbit,South Korea,,162.0,49.0,,,,F,24.0
Bae,Bae Jinsol,배진솔,배이,2004-12-28,NMIXX,22/02/2022,JYP,South Korea,,,,,,,F,22.0
Baek Seung,Kim Hyunwoo,김현우,백승,2004-10-05,EPEX,8/06/2021,C9,South Korea,,186.0,64.0,Seoul,,,M,22.0
Baekah,Kim Sua,김수아,백아,1999-10-24,XUM,22/09/2020,A100,South Korea,,,,,,NeonPunch,F,27.0
Baekgyeul,Baek Sunwoo,백결,백선우,1999-12-01,E'LAST,9/06/2020,E Entertainment,South Korea,,180.0,61.0,,,,M,27.0
Baekho,Kang Dongho,강동호,백호,1995-07-21,NU'EST,15/03/2012,Pledis,South Korea,,,,Jeju,NU'EST W,,M,31.0
Baekhyun,Byun Baekhyun,변백현,백현,1992-05-06,EXO,8/04/2012,SM,South Korea,,174.0,58.0,Wonmi,EXO-CBX| SuperM,,M,34.0
Bahiyyih,Huening Bahiyyih,휴닝바히에,바히에,2004-07-27,Kep1er,1/03/2022,WakeOne,USA,South Korea,166.0,,,,,F,22.0
Bain,Song Byeonghee,송병희,배인,2001-05-04,JUST B,30/06/2021,Bluedot,South Korea,,,,,,,M,25.0
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,1997-05-02,GOT7,16/01/2014,JYP,Thailand,,170.0,52.0,Bangkok,,,M,29.0
Bang Chan,Bang Chan,방찬,방찬,1997-10-03,Stray Kids,25/03/2018,JYP,Australia,South Korea,,,Sydney,3RACHA,,M,29.0
Bao,Bae Sungyeob,배성엽,바오,1996-05-12,XEED,1/12/2022,Nature Space,South Korea,,182.0,63.0,,,LUCENTE,M,30.0
Baro,Cha Sunwoo,차선우,바로,1992-09-05,,,,South Korea,,178.0,63.0,Gwangju,,B1A4,M,34.0
Baron,Choi Chunghyeop,최충협,바론,1992-04-19,,,,South Korea,,180.0,60.0,,,VAV,M,34.0
B-Bomb,Lee Minhyuk,이민혁,비범,1990-12-14,Block B,15/04/2011,KQ,South Korea,,178.0,60.0,Seoul,Bastarz,,M,36.0
BC,Jin Sungho,진성호,비시,1994-07-18,1TEAM,27/03/2019,LiveWorks,South Korea,,,,,,,M,32.0
Bekah,Rebecca Kim,김레베카,베카,1989-08-11,,,,South Korea,USA,,,Honolulu,,After School,F,37.0
BEL,Choi Sunghoon,최성훈,벨,2000-05-21,DUSTIN,6/01/2020,LPA,South Korea,,,,,,,M,26.0
Belle,Jin Hyeonjoo,진현주,벨,2001-11-03,Cignature,4/02/2020,C9,South Korea,,,,Goyang,,Good Day,F,25.0
Benji,Baek Jaewook,배제욱,벤지,1992-05-03,B.I.G,9/07/2014,GH,USA,South Korea,183.0,72.0,Indianapolis,,,M,34.0
Beomgyu,Choi Beomgyu,최범규,범규,2001-03-13,TXT,4/03/2019,Big Hit,South Korea,,,,,,,M,25.0
Bessie,Kim Susanna,김수산나,베시,2004-07-15,Lapillus,22/06/2022,MLD,South Korea,,,,Changwon,,,F,22.0
Bian,Yu Jiwon,유지원,비안,2001-02-13,MAJORS,9/03/2021,ANS,South Korea,,,,,,ANS,F,25.0
BIBI,Kim Hyungseo,김형서,비비,1998-09-27,,,,South Korea,,,,,,,F,28.0
Bic,Nam Seungmin,남승민,빅,2001-04-25,MCND,27/02/2020,TOP Media,South Korea,,,,,,,M,25.0
Bin,Kwon Soobin,김수빈,빈,1993-10-28,Hot Blood Youth,17/05/2017,FNC,South Korea,,,,,,,M,33.0
Bit,No Minjae,노민재,빛,2004-07-21,BAE173,19/11/2020,PocketDol,South Korea,,,,,,,M,22.0
Bitsaeon,Kim Sangyeon,김상연,빛새온,1995-06-04,MONT,14/05/2014,Starship,South Korea,,181.0,60.0,,,,M,31.0
Bitto,Lee Changhyun,이창현,비토,1996-08-24,UP10TION,10/09/2015,TOP Media,South Korea,,,,Dongducheon,,,M,30.0
B-Joo,Kim Byungjoo,김병주,비주,1994-01-08,Topp Dogg,1/04/2020,n.CH,South Korea,,,,Seoul,,,M,32.0
Blue,Jung Gahee,정가희,파랑,1994-01-18,Pungdeng-E,11/12/2013,DOMA,South Korea,,161.0,,Gwangju,,,F,32.0
BM,Matthew Kim,매튜김,비엠,1992-10-20,KARD,29/03/2007,DSP,South Korea,,,,,,,M,34.0
BoA,Kwon Boa,권보아,보아,1986-11-05,,,,South Korea,,,,Guri,,,F,40.0
Boa,Kim Boah,김보아,보아,1987-01-14,KEEMBO,10/04/2020,ARA-LINE,South Korea,,,,,,SPICA,F,39.0
Bobby,Kim Jiwon,김지원,바비,1995-12-21,iKON,15/09/2015,YG,South Korea,USA,,,Seoul,,,M,31.0
Boeun,Park Boeun,박보은,보은,2008-02-11,CLASS:y,5/05/2022,Universal,South Korea,,155.0,,,,,F,18.0
Bohyung,Kim Bohyung,김보형,보형,1991-03-31,KEEMBO,10/04/2020,ARA-LINE,South Korea,,,,,SPICA-S,SPICA,F,35.0
Bokeun,Kim Bokeun,김복은,복은,1994-10-12,SIGNAL,28/08/2019,J-Star,South Korea,,,,,,,M,32.0
Bom,Park Bom,박봄,봄,1984-03-24,2NE1,6/05/2009,YG,South Korea,,,,,,,F,42.0
Bomi,Yoon Bomi,윤보미,보미,1993-08-13,Apink,19/04/2011,Plan A,South Korea,,163.0,,Suwon,Chobom,,F,33.0
Bomin,Choi Bomin,최보민,보민,2000-08-24,Golden Child,28/08/2017,Woollim,South Korea,,,,,,,M,26.0
Bomin,Kim Bomin,김보민,보민,2001-09-24,RedSquare,19/05/2020,About,South Korea,,,,Gwangju,,Good Day,F,25.0
Bona,Kim Jiyeon,김지연,보나,1995-08-19,WJSN,25/02/2016,Starship,South Korea,,163.0,,Daegu,WJSN The Black,,F,31.0
Boni,Choi Euijeong,최의정,보니,1999-10-30,Dreamnote,7/11/2018,iME,South Korea,,160.0,45.0,,,,F,27.0
Bora,Kim Bora,김보라,보라,1999-03-03,Cherry Bullet,21/01/2019,FNC,South Korea,,,,,,,F,27.0
Bora,Yoon Bora,윤보라,보라,1989-12-30,SISTAR,6/03/2010,Starship,South Korea,,,,,SISTAR19,,F,37.0
Boram,Jeon Boram,전보람,보람,1986-03-22,,,,South Korea,,155.0,45.0,Seoul,,T-ara,F,40.0
Bullet,Jin Junwoo,진준우,블릿,1995-12-02,VARSITY,5/01/2017,GKC,South Korea,,182.0,65.0,Seoul,,,M,31.0
BX,Lee Byounggon,이병곤,비엑스,1998-03-05,CIX,23/07/2019,C9,South Korea,,180.0,61.0,Incheon,,,M,28.0
Byeongkwan,Kim Byeongkwan,김병관,병관,1996-08-13,A.C.E,23/05/2017,Beat,South Korea,,,,Seoul,,,M,30.0
Byungchan,Choi Byungchan,최병찬,병찬,1997-11-12,VICTON,9/11/2016,Plan A,South Korea,,,,,,,M,29.0
C.A.P,Bang Minsoo,방민수,캡,1992-11-04,Teen Top,9/07/2010,TOP Media,South Korea,,,,Seongnam,,,M,34.0
Cao Lu,Cao Lu,차오루,차오루,1987-08-30,Fiestar,31/08/2012,LOEN,China,,166.0,,Zhangjiajie,,,F,39.0
Casper,Chu Xiaoxiang,저효상,캐스퍼,1991-03-20,CROSS GENE,8/07/2012,Amuse,China,,176.0,66.0,Shanghai,,,M,35.0
Castle J,Son Sangjoon,손성준,캐슬제이,1999-05-31,MCND,27/02/2020,TOP Media,South Korea,,,,,,,M,27.0
Cha Hoon,Cha Hoon,차훈,차훈,1994-07-12,N.Flying,20/05/2015,FNC,South Korea,,,,Seoul,,,M,32.0
Chaebin,Choi Yoobin,최유빈,채빈,1999-07-28,NATURE,3/08/2018,n.CH,South Korea,,,,,,,F,27.0
Chaehyun,Kim Chaehyun,김채현,채현,1999-11-29,Bonus Baby,1/01/2017,Maroo,South Korea,,163.0,,,,,F,27.0
Chaehyun,Kim Chaehyun,김채현,채현,2002-04-26,Kep1er,1/03/2022,WakeOne,South Korea,,160.0,,,,,F,24.0
Chaein,Lee Chaeyoung,이채영,채인,2002-12-05,Purple Kiss,15/03/2021,RBW,South Korea,,,,,,,F,24.0
Chaejeong,Lee Chaejeong,이채정,채정,1999-08-26,ALICE,1/07/2017,IOK Company,South Korea,,164.0,48.0,,,,F,27.0
Chaejin,Chae Jinseok,채진석,채진,1995-12-26,MYNAME,27/10/2011,H2,South Korea,,,,Seoul,,,M,31.0
Chaekyung,Yoon Chaekyung,윤채경,채경,1996-07-07,APRIL,24/08/2015,DSP,South Korea,,160.0,45.0,Incheon,C.I.V.A| I.B.I,Puretty,F,30.0
Chaelin,Lee Chaelin,이채린,채린,1999-10-20,FANATICS,6/08/2019,FENT,South Korea,,162.0,47.0,,,,F,27.0
Chaerin,Park Chaerin,박채린,채린,2002-03-13,Cherry Bullet,21/01/2019,FNC,South Korea,,,,,,,F,24.0
Chaerin,Park Chaerin,박채린,채린,2003-03-31,ICHILLIN',8/09/2021,KM,South Korea,,,,,,,F,23.0
Chaeryeong,Lee Chaeryeong,이채령,채령,2001-06-05,ITZY,12/02/2019,JYP,South Korea,,,,Yongin,,,F,25.0
Chaesol,Maeng Chaesol,맹채솔,채솔,1998-07-14,Cignature,4/02/2020,C9,South Korea,,,,Yeosu,,Good Day,F,28.0
Chaewon,Kim Chaewon,김채원,채원,1997-11-08,APRIL,24/08/2015,DSP,South Korea,,,,Gongju,,,F,29.0
Chaewon,Yoon Chaewon,윤채원,채원,2003-06-04,CLASS:y,5/05/2022,Universal,South Korea,,163.0,,,,,F,23.0
Chaewon,Kim Chaewon,김채원,채원,2000-08-01,LE SSERAFIM,2/05/2022,Source,South Korea,,,,Seoul,,IZ*ONE,F,26.0
Chaewon,Lee Chaewon,이채원,채원,2000-03-18,Maka Maka,4/08/2020,Dreamus,South Korea,,,,,,,F,26.0
ChaeY,Song Chaeyeon,송채연,채이,2003-01-06,CRAXY,3/03/2020,SAITEINMENT,South Korea,,,,,,,F,23.0
Chaeyeon,Jung Chaeyeon,정채연,채연,1997-12-01,DIA,14/07/2015,MBK,South Korea,,165.0,49.0,Suncheon,,I.O.I,F,29.0
Chaeyeon,Lee Chaeyeon,이채연,채연,2000-01-11,IZ*ONE,29/10/2018,Off The Record,South Korea,,,,Yongin,,,F,26.0
Chaeyeon,Kim Chaeyeon,김채연,채연,2004-12-04,tripleS,13/02/2023,MODHAUS,South Korea,,,,,,Busters,F,22.0
Chaeyoung,Lee Chaeyoung,이채영,채영,2000-05-14,fromis_9,24/01/2018,Off The Record,South Korea,,,,Pohang,,,F,26.0
Chaeyoung,Son Chaeyoung,손채영,채영,1999-04-23,Twice,20/10/2015,JYP,South Korea,,159.0,,Seoul,,,F,27.0
Chahee,Park Sooyoung,박수영,차희,1996-03-24,MELODYDAY,25/09/2019,KD,South Korea,,167.0,,,,,F,30.0
Chan,Kang Yoochan,강유찬,찬,1997-12-31,A.C.E,23/05/2017,Beat,South Korea,,,,Jeju,UNB,,M,29.0
Chan,Jung Chanwoo,정찬우,찬,1998-01-26,iKON,15/09/2015,YG,South Korea,,,,Yongin,,,M,28.0
Chan,Jo Chanhyuk,조찬혁,찬,1999-12-08,TOO,1/04/2020,n.CH,South Korea,,,,,,,M,27.0
Changbin,Seo Changbin,서창빈,창빈,1999-08-11,Stray Kids,25/03/2018,JYP,South Korea,,,,Yongin,3RACHA,,M,27.0
Changbum,Woo Changbum,우창범,창범,1993-10-07,,,,South Korea,,,,Sokcho,,100%,M,33.0
Changgyu,Song Changgyu,송창규,창규,1993-07-06,UNVS,23/02/2020,CHITWN,South Korea,,,,,,,M,33.0
Changjo,Choi Jonghyun,최종현,창조,1995-11-16,Teen Top,9/07/2010,TOP Media,South Korea,,,,Chuncheon,,,M,31.0
Changsub,Lee Changsub,이창섭,창섭,1991-02-26,BtoB,21/03/2012,Cube,South Korea,,177.0,64.0,Suwon,,,M,35.0
Changsun,Lee Changsun,이창선,창선,1996-03-17,24K,6/09/2012,Choeun,South Korea,,179.0,58.0,,,,M,30.0
Changuk,Joo Changuk,주창욱,창욱,2001-07-25,DRIPPIN,26/10/2020,Woollim,South Korea,,184.0,59.0,,,,M,25.0
Chani,Kang Chanhee,강찬희,찬희,2000-01-17,SF9,5/10/2016,FNC,South Korea,,,,,,,M,26.0
Chanmi,Kim Chanmi,김찬미,찬미,1996-06-19,AoA,30/07/2012,FNC,South Korea,,166.0,47.0,Gumi,,,F,30.0
Chansung,Hwang Chansung,황찬성,찬성,1990-02-11,2PM,4/07/2008,JYP,South Korea,,184.0,75.0,Seoul,,,M,36.0
Chanty,Maria Chantal Videla,마리아 샹탈 비델라,샨티,2002-12-15,Lapillus,22/06/2022,MLD,Philippines,Argentina,170.0,,Manila,,,F,24.0
Chanyeol,Park Chanyeol,박찬열,찬열,1992-11-27,EXO,8/04/2012,SM,South Korea,,185.0,70.0,Seoul,,,M,34.0
Chanyong,Kim Chanyong,김찬용,찬용,1993-04-29,100%,18/09/2012,TOP Media,South Korea,,,,Suwon,,,M,33.0
Chanyoung,Kim Chanyoung,김찬영,찬영,2000-11-20,D-CRUNCH,6/08/2018,All-S,South Korea,,,,,,,M,26.0
Chen,Kim Jongdae,김종대,첸,1992-09-21,EXO,8/04/2012,SM,South Korea,,173.0,64.0,Silheung,EXO-CBX,,M,34.0
Cheng Xiao,Cheng Xiao,청샤오,성소,1998-07-15,,,,China,,167.0,,Shenzhen,,WJSN,F,28.0
Chenle,Zhong Chenle,중천러,천러,2001-11-22,NCT,9/04/2016,SM,China,,,,Shanghai,NCT Dream,,M,25.0
Cheongeum,Jang Cheongeum,장청음,청음,1996-06-19,Ho1iday,26/04/2013,LOEN,South Korea,,,,,,,F,30.0
Chi.u,Lee Jaeyi,이재이,치유,1998-08-16,X:IN,11/04/2023,Escrow,South Korea,,,,,,,F,28.0
Chiayi,Li Chiayi,지아이,지아이,2000-01-22,FANATICS,6/08/2019,FENT,Taiwan,,164.0,,,FANATICS FLAVOR,,F,26.0
Chihoon,Choi Chihoon,최치훈,치훈,1999-04-27,TOO,1/04/2020,n.CH,South Korea,,,,,,,M,27.0
Chiquita,Riracha Phondechaphiphat,리라차 폰데차피팟,치키타,2009-02-17,BABYMONSTER,0/01/1900,YG,Thailand,,,,,,,F,17.0
Chiwoo,Guk Seungjun,국승준,치우,2002-09-02,Kingdom,18/02/2021,GF,South Korea,,,,,,,M,24.0
Chloe,Yun Jiwon,윤지원,클로이,2001-01-06,Cignature,4/02/2020,C9,South Korea,,163.0,,Seoul,,,F,25.0
Choa,Park Choa,박초아,초아,1990-03-06,,,,South Korea,,160.0,42.0,Incheon,,AoA| AOA BLACK,F,36.0
Choa,Heo Minjin,허민진,초아,1990-07-12,Crayon Pop,18/07/2012,Chrome,South Korea,,161.0,,Seoul,,,F,36.0
Choerry,Choi Yerim,최예림,최리,2001-06-04,LOONA,20/08/2018,Blockberry,South Korea,,,,,Loona Odd Eye Circle| ARTMS,,F,25.0
Choi In,Choi In,최인,최인,1996-02-11,E'LAST,9/06/2020,E Entertainment,South Korea,,170.0,50.0,,,,M,30.0
Choi Jiann,Choi Jaewoo,최재우,최지안,1997-09-30,Newkidd,25/04/2019,J-FLO,South Korea,,175.0,,,,,M,29.0
Chorong,Park Chorong,박초롱,초롱,1991-03-03,Apink,19/04/2011,Plan A,South Korea,,165.0,,Chungwongoon,Chobom,,F,35.0
Chowon,Kim Chowon,김초원,초원,2005-08-18,ICHILLIN',8/09/2021,KM,South Korea,,,,,,,F,21.0
Chowon,Han Chowon,한초원,초원,2002-09-16,LIGHTSUM,10/06/2021,Cube,South Korea,,168.0,50.0,Seoul,,,F,24.0
Choyeon,Kim Choyeon,김초연,초연,2001-08-01,bugAboo,25/10/2021,A team,South Korea,,164.0,44.0,,,,F,25.0
Chris,Han Chris,한 크리스,크리스,2002-11-19,BLITZERS,12/05/2021,Wuzo,South Korea,,,,,,,M,24.0
Chungha,Kim Chungha,김청하,청하,1996-02-09,,,,South Korea,,,,Dallas,,I.O.I,F,30.0
Chunji,Lee Chanhee,이찬희,천지,1993-10-05,Teen Top,9/07/2010,TOP Media,South Korea,,,,Seongnam,,,M,33.0
Chuu,Kim Jiwoo,김지우,츄,1999-10-20,LOONA,20/08/2018,Blockberry,South Korea,,,,Cheongju,Loona yyxy,,F,27.0
CL,Lee Chaerin,이채린,씨엘,1991-02-26,2NE1,6/05/2009,YG,South Korea,,,,,,,F,35.0
CNU,Shin Dongwoo,신동우,신우,1991-06-16,B1A4,19/04/2010,WM,South Korea,,182.0,64.0,Seoul,,,M,35.0
Cory,Hong Joohyung,홍주현,코리,1990-11-25,24K,6/09/2012,Choeun,South Korea,USA,175.0,58.0,Daegu,,,M,36.0
Cui Xiang,Cui Xiang,최상,최상,1995-01-26,BOTOPASS,26/08/2020,WKS ENE,China,,,,,,ILUV,F,31.0
Cya,Lee Giwook,이기욱,키야,2000-01-24,Onewe,9/01/2019,RBW,South Korea,,,,,,MAS,M,26.0
Cyan,Lee Chaeeun,이채은,시안,2001-04-04,bugAboo,25/10/2021,A team,South Korea,,,,Sanbon,,,F,25.0
D.ana,Cho Eunae,조은애,디애나,1995-09-10,Sonamoo,29/12/2014,TS,South Korea,,170.0,,Seoul,,,F,31.0
D.O.,Do Kyungsoo,도경수,디오,1993-01-12,EXO,8/04/2012,SM,South Korea,,173.0,60.0,Gyeonggi,,,M,33.0
D1,Jang Dongil,장동일,디원,1998-02-15,DKB,3/02/2020,Brave,South Korea,,174.0,59.0,,,,M,28.0
Dabi,Park Jiwon,박지원,다비,2000-01-19,AREAL,21/08/2020,JZ Factory,South Korea,,,,,,MIDNIGHT,F,26.0
Daehwi,Lee Daehwi,이대휘,대휘,2001-01-29,AB6IX,22/05/2019,Brand New,South Korea,,,,Seoul,,Wanna One,M,25.0
Daehyeon,Jang Daehyeon,장대현,대현,1997-02-11,WEi,5/10/2020,OUI,South Korea,,175.0,,,,RAINZ,M,29.0
Daehyun,Jung Daehyun,정대현,대현,1993-06-28,B.A.P,27/01/2012,TS,South Korea,,177.0,63.0,Busan,,,M,33.0
Daeil,Kim Daeil,김대일,대일,1992-05-10,,,,South Korea,,,,Busan,,24K,M,34.0
Daesung,Daesung,강대성,대성,1989-04-26,BIGBANG,19/08/2006,YG,South Korea,,178.0,63.0,Incheon,,,M,37.0
Daeun,Jung Daeun,정다은,정다은,1994-06-03,2EYES,20/07/2013,SidusHQ,South Korea,,161.0,,Bucheon,,,F,32.0
Daewang Nim,Daewang Nim,대왕님,대왕님,1996-04-08,Pink Fantasy,28/10/2018,My Doll,South Korea,,162.0,49.0,,,,F,30.0
Daeyeol,Lee Daeyeol,이대열,대열,1993-02-11,Golden Child,28/08/2017,Woollim,South Korea,,,,Yongin,,,M,33.0
Dahye,Song Dahye,송다혜,다혜,1993-06-12,,,,South Korea,,,,,,EXID| BESTie,F,33.0
Dahyun,Jeong Dahyun,정다현,다현,2005-04-29,Rocket Punch,7/08/2019,Woollim,South Korea,,160.0,,,,,F,21.0
Dahyun,Seo Dahyun,서다현,다현,2003-01-08,tripleS,13/02/2023,MODHAUS,South Korea,,160.0,,Busan,,,F,23.0
Dahyun,Kim Dahyun,김다현,다현,1998-05-28,Twice,20/10/2015,JYP,South Korea,,165.0,,Seongnam,,,F,28.0
Dain,Song Jieun,송지은,다인,1990-06-25,,,,South Korea,,,,,,Wassup,F,36.0
Dain,Jung Dain,정다인,다인,2004-12-15,HOT ISSUE,17/05/2017,FNC,South Korea,,,,,,,F,22.0
Daisy,Yoo Jeongahn,유정안,데이지,1999-01-22,,,,South Korea,,,,Seoul,,MOMOLAND,F,27.0
Dajeong,Kim Dajeong,김다정,다정,1995-08-08,Hash Tag,11/10/2017,LUK,South Korea,,170.0,,Gwangju,,,F,31.0
Dajeong,Jung Dajeong,정다정,다정,2003-07-31,Pixy,24/02/2021,ALLART,South Korea,,157.0,42.0,,,,F,23.0
Dakyung,Jung Dakyung,정다경,다경,2001-07-23,Hi-L,11/08/2021,Kpop Live,South Korea,,,,,,,F,25.0
Dalyn,Lee Sohyun,이소현,달린,1999-08-27,ANS,16/09/2019,ANS,South Korea,,,,,,,F,27.0
Damhee,Park Damhee,박담희,담희,2000-06-21,ARTBEAT,16/11/2022,AB Creative,South Korea,,,,,,,F,26.0
Dami,Hong Dayoung,홍다영,담이,2001-06-07,ANS,16/09/2019,ANS,South Korea,,,,,,,F,25.0
Dami,Lee Yoobin,이유빈,다미,1997-03-07,Dreamcatcher,13/01/2017,Happy Face,South Korea,,163.0,,Seoul,,Minx,F,29.0
Damin,Kang Damin,강다민,다민,2004-03-24,Queenz Eye,24/10/2022,Big Mountain,South Korea,,166.0,42.0,Seoul,,,F,22.0
Damon,Hu Boohan,후보한,데이먼,1996-07-02,VARSITY,5/01/2017,GKC,China,,181.0,,,,,M,30.0
